timestamp,ip,label,status,response_time_ms
2025-10-17 00:34:24,8.8.8.8,Google DNS,online,77.47
2025-10-17 00:34:24,1.1.1.1,Cloudflare DNS,online,76.23
2025-10-17 00:34:24,10.59.249.15,Geethika's Laptop,online,88.97
2025-10-17 00:34:24,10.59.249.199,My Laptop,online,1.02
2025-10-17 00:34:54,8.8.8.8,Google DNS,online,92.7
2025-10-17 00:34:54,1.1.1.1,Cloudflare DNS,online,43.94
2025-10-17 00:34:54,10.59.249.15,Geethika's Laptop,online,48.89
2025-10-17 00:34:54,10.59.249.199,My Laptop,online,0.64
2025-10-17 00:35:24,8.8.8.8,Google DNS,online,80.59
2025-10-17 00:35:24,1.1.1.1,Cloudflare DNS,online,47.27
2025-10-17 00:35:24,10.59.249.15,Geethika's Laptop,online,51.83
2025-10-17 00:35:24,10.59.249.199,My Laptop,online,0.77
2025-10-17 00:35:54,8.8.8.8,Google DNS,online,39.98
2025-10-17 00:35:54,1.1.1.1,Cloudflare DNS,online,64.6
2025-10-17 00:35:56,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:35:56,10.59.249.199,My Laptop,online,0.91
2025-10-17 00:36:26,8.8.8.8,Google DNS,online,48.92
2025-10-17 00:36:27,1.1.1.1,Cloudflare DNS,online,73.61
2025-10-17 00:36:29,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:36:29,10.59.249.199,My Laptop,online,1.42
2025-10-17 00:36:59,8.8.8.8,Google DNS,online,89.42
2025-10-17 00:36:59,1.1.1.1,Cloudflare DNS,online,70.82
2025-10-17 00:37:01,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:37:01,10.59.249.199,My Laptop,online,1.21
2025-10-17 00:37:43,8.8.8.8,Google DNS,online,63.21
2025-10-17 00:37:43,1.1.1.1,Cloudflare DNS,online,60.67
2025-10-17 00:37:45,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:37:45,10.59.249.199,My Laptop,online,1.17
2025-10-17 00:38:15,8.8.8.8,Google DNS,online,136.85
2025-10-17 00:38:15,1.1.1.1,Cloudflare DNS,online,63.37
2025-10-17 00:38:17,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:38:17,10.59.249.199,My Laptop,online,0.87
2025-10-17 00:38:47,8.8.8.8,Google DNS,online,45.18
2025-10-17 00:38:47,1.1.1.1,Cloudflare DNS,online,56.91
2025-10-17 00:38:49,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:38:49,10.59.249.199,My Laptop,online,0.65
2025-10-17 00:39:30,8.8.8.8,Google DNS,online,52.79
2025-10-17 00:39:30,1.1.1.1,Cloudflare DNS,online,50.44
2025-10-17 00:39:32,10.59.249.15,Geethika's Laptop,offline,
2025-10-17 00:39:32,10.59.249.199,My Laptop,online,0.58
2025-10-17 00:40:02,8.8.8.8,Google DNS,online,49.18
2025-10-17 00:40:02,1.1.1.1,Cloudflare DNS,online,53.55
